epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.3813,1.21436,0.0322,0.22882,1.00839,1.15001,0.94246,0.80665,0.8767,0.66999,0.04906,0.07884,0.00933,0.00369,1.12776,0.54295,0.16974,0.8125,1.13392,0.00332791,0.00332791,0.00332791
2,116.309,0.95797,0.02366,0.02688,0.59867,0.98199,0.95677,0.81604,0.905,0.6797,0.05389,0.0893,0.01076,0.00649,1.09445,0.40291,0.09155,0.72945,1.13135,0.00666052,0.00666052,0.00666052
3,159.608,0.93964,0.01674,0.01351,0.58988,0.98369,0.93418,0.82515,0.90886,0.67051,0.06008,0.09171,0.0136,0.00945,1.14515,0.39593,0.0715,0.72674,1.14953,0.00999024,0.00999024,0.00999024
4,205.896,0.89691,0.01478,0.0089,0.56596,0.97584,0.93441,0.80263,0.88046,0.7043,0.04266,0.07106,0.00724,0.00384,1.00354,0.4806,0.1487,0.8112,1.11675,0.00999023,0.00999023,0.00999023
5,252.212,0.82244,0.01252,0.00659,0.5181,0.95448,0.93531,0.8147,0.88882,0.73637,0.05238,0.07589,0.0099,0.00573,0.93127,0.3736,0.19484,0.76442,1.10674,0.00998264,0.00998264,0.00998264
6,297.428,0.77636,0.01133,0.00623,0.49275,0.94366,0.93343,0.845,0.92239,0.74824,0.05255,0.0775,0.0207,0.01584,0.94231,0.39131,0.03226,0.67713,1.06344,0.00997288,0.00997288,0.00997288
7,345.06,0.73953,0.01097,0.00587,0.46417,0.93307,0.93042,0.82033,0.89179,0.70277,0.05982,0.09279,0.01253,0.00741,1.01127,0.38962,0.22394,0.72756,1.13181,0.00996097,0.00996097,0.00996097
8,389.913,0.71457,0.00883,0.00499,0.45216,0.92593,0.94716,0.83025,0.93361,0.74433,0.07918,0.10649,0.01515,0.01075,0.90757,0.30938,0.06481,0.60419,1.05494,0.0099469,0.0099469,0.0099469
9,433.041,0.69291,0.00898,0.00503,0.43797,0.92073,0.91803,0.89795,0.94821,0.76878,0.08536,0.10995,0.02447,0.02001,0.87666,0.23645,0.02927,0.54862,1.05783,0.00993068,0.00993068,0.00993068
10,479.832,0.67613,0.00772,0.00486,0.42896,0.91591,0.95815,0.83132,0.91492,0.75944,0.04291,0.05256,0.01479,0.0112,0.8652,0.3205,0.04063,0.65516,1.0524,0.00991232,0.00991232,0.00991232
11,526.737,0.65589,0.0059,0.00408,0.4176,0.91057,0.93147,0.90239,0.96044,0.79827,0.09829,0.11907,0.01962,0.01566,0.77201,0.24123,0.01401,0.50657,0.99769,0.00989183,0.00989183,0.00989183
12,572.089,0.64583,0.00707,0.00477,0.41056,0.90832,0.91906,0.91499,0.96035,0.79852,0.09247,0.11236,0.02097,0.01698,0.7802,0.26711,0.01869,0.48405,0.99287,0.00986922,0.00986922,0.00986922
13,621.305,0.6287,0.00723,0.00442,0.39926,0.9021,0.9266,0.88354,0.93655,0.79033,0.08415,0.10485,0.02102,0.01708,0.78601,0.21707,0.12962,0.52383,1.01795,0.00984449,0.00984449,0.00984449
14,671.294,0.62468,0.00723,0.00487,0.39576,0.90382,0.93307,0.91964,0.96283,0.80507,0.09743,0.1188,0.02843,0.02174,0.79045,0.26563,0.04234,0.46483,1.02216,0.00981765,0.00981765,0.00981765
15,722.869,0.61624,0.00611,0.00503,0.38736,0.90077,0.92122,0.8686,0.93114,0.79453,0.06727,0.0842,0.02421,0.01782,0.79215,0.29081,0.06359,0.58599,1.02653,0.00978873,0.00978873,0.00978873
16,772.302,0.60828,0.00575,0.0042,0.38539,0.89718,0.94897,0.90265,0.9591,0.79151,0.08729,0.10459,0.02481,0.02123,0.82548,0.20412,0.02894,0.49402,1.00002,0.00975773,0.00975773,0.00975773
