epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.4778,1.25308,0.02834,0.25651,1.09429,1.19413,0.93337,0.8911,0.94694,0.67514,0,0,0,0,1.05584,0,0.04757,0.6199,0.95244,0.00332783,0.00332783,0.00332783
2,112.911,0.999,0.0217,0.03999,0.67284,1.02155,0.94584,0.89166,0.95476,0.7259,0,0,0,0,0.93713,0,0.01668,0.60238,0.95742,0.00666044,0.00666044,0.00666044
3,166.156,0.99747,0.01723,0.02045,0.67236,1.02843,0.90639,0.84542,0.92408,0.70693,0,0,0,0,0.92036,0,0.00838,0.74066,0.98571,0.00999016,0.00999016,0.00999016
4,222.903,0.94847,0.01727,0.01363,0.64452,1.02297,0.94305,0.86588,0.94592,0.74038,0,0,0,0,0.85804,0,0.01137,0.642,0.98041,0.00999023,0.00999023,0.00999023
5,277.034,0.88986,0.01449,0.01049,0.60856,1.00675,0.94265,0.87905,0.95211,0.71035,0,0,0,0,0.96181,0,0.00464,0.63581,0.98457,0.00998264,0.00998264,0.00998264
6,333.072,0.84191,0.01141,0.00853,0.57007,0.99373,0.93731,0.89361,0.95541,0.76277,0,0,0,0,0.8126,0,0.00139,0.57832,0.93261,0.00997288,0.00997288,0.00997288
7,388.868,0.7961,0.01111,0.00733,0.54434,0.97836,0.94845,0.89467,0.96459,0.80602,0,0,0,0,0.67819,0,0.00155,0.51508,0.91328,0.00996097,0.00996097,0.00996097
8,443.108,0.76767,0.00892,0.00714,0.52724,0.97117,0.93395,0.8987,0.9592,0.79726,0,0,0,0,0.70666,0,0.00099,0.52281,0.92701,0.0099469,0.0099469,0.0099469
9,498.418,0.75018,0.00875,0.00563,0.51446,0.96647,0.94828,0.8906,0.94846,0.79009,0,0,0,0,0.71241,0,0.00096,0.54758,0.92199,0.00993068,0.00993068,0.00993068
10,551.186,0.7335,0.00866,0.0059,0.50165,0.95978,0.9461,0.8987,0.96448,0.81072,0,0,0,0,0.6782,0,0.00279,0.49356,0.91261,0.00991232,0.00991232,0.00991232
