epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,294.95,1.4955,0.21836,0.0558,1.31721,1.38504,0.74706,0.67645,0.74392,0.39479,0.46748,0.43826,0.46945,0.41531,1.60926,0.32615,0.02167,1.18352,1.32511,0.00148311,0.00148311,0.00148311
28,305.009,1.48863,0.21947,0.05715,1.29852,1.36974,0.7408,0.70884,0.75702,0.40238,0.4657,0.44154,0.47477,0.42657,1.5867,0.29023,0.01919,1.08827,1.29504,0.0014693,0.0014693,0.0014693
29,315.061,1.49499,0.21809,0.05363,1.28074,1.3622,0.80975,0.69512,0.7818,0.39562,0.4668,0.45725,0.47442,0.43187,1.69442,0.28728,0.02233,1.11283,1.339,0.00145505,0.00145505,0.00145505
30,325.895,1.48104,0.20556,0.05088,1.26373,1.36642,0.81026,0.75358,0.80759,0.45318,0.46918,0.44512,0.46661,0.42653,1.51044,0.28095,0.01945,1.01412,1.23797,0.00144039,0.00144039,0.00144039
31,336.777,1.47344,0.19174,0.04894,1.24542,1.36276,0.8454,0.72786,0.82225,0.46927,0.46732,0.44715,0.47066,0.42868,1.4698,0.2777,0.01651,0.99173,1.23106,0.00142531,0.00142531,0.00142531
32,347.429,1.45683,0.18249,0.04957,1.22406,1.35089,0.76743,0.75043,0.79705,0.47071,0.47014,0.44798,0.47037,0.42314,1.44715,0.29868,0.01638,1.00109,1.22568,0.00140984,0.00140984,0.00140984
33,358.113,1.46996,0.18083,0.0491,1.25212,1.35512,0.83129,0.75796,0.81621,0.46068,0.46142,0.43902,0.46705,0.43144,1.47636,0.27233,0.0169,0.97552,1.23884,0.00139398,0.00139398,0.00139398
34,369.115,1.43003,0.20339,0.04684,1.20285,1.33186,0.78851,0.75456,0.81565,0.45943,0.46418,0.44919,0.46841,0.428,1.46659,0.28412,0.01683,1.00115,1.24449,0.00137774,0.00137774,0.00137774
35,379.262,1.44726,0.179,0.04906,1.23099,1.35066,0.82991,0.78205,0.82587,0.46473,0.48316,0.44106,0.4638,0.4273,1.47535,0.27642,0.01717,0.95654,1.24422,0.00136113,0.00136113,0.00136113
36,389.232,1.43283,0.18088,0.04719,1.20619,1.33988,0.81284,0.74596,0.81824,0.4671,0.47364,0.43828,0.47124,0.43985,1.44324,0.23969,0.01639,0.99843,1.20874,0.00134416,0.00134416,0.00134416
37,400.173,1.41979,0.17988,0.04489,1.21062,1.33922,0.72197,0.67972,0.71315,0.34585,0.46236,0.42886,0.46572,0.41339,1.77552,0.31622,0.02009,1.35614,1.3999,0.00132685,0.00132685,0.00132685
38,410.72,1.40438,0.17474,0.0439,1.19869,1.331,0.81349,0.73202,0.79031,0.44186,0.46897,0.42999,0.46507,0.42846,1.51914,0.26521,0.01479,1.00934,1.24729,0.00130921,0.00130921,0.00130921
39,421.279,1.4115,0.18866,0.04546,1.17944,1.32217,0.83585,0.75464,0.82463,0.47103,0.47459,0.45546,0.47569,0.42886,1.45915,0.28801,0.0178,1.01564,1.22381,0.00129125,0.00129125,0.00129125
40,433.162,1.40292,0.15835,0.04695,1.1882,1.3218,0.82427,0.76306,0.82104,0.48264,0.45942,0.44106,0.47283,0.43823,1.41553,0.25579,0.01633,0.95172,1.20144,0.00127298,0.00127298,0.00127298
41,444.96,1.42026,0.17837,0.04497,1.19031,1.32705,0.8351,0.75384,0.82529,0.46904,0.4793,0.44309,0.4728,0.44021,1.42456,0.2535,0.01363,0.97321,1.2024,0.00125442,0.00125442,0.00125442
42,456.323,1.39487,0.17857,0.04752,1.17959,1.31201,0.79534,0.73574,0.80967,0.47298,0.47243,0.42683,0.46566,0.42548,1.40198,0.25947,0.01545,1.00378,1.1968,0.00123557,0.00123557,0.00123557
43,467.643,1.42117,0.19713,0.04472,1.17106,1.33231,0.82367,0.78938,0.82527,0.4748,0.47186,0.4431,0.47506,0.44392,1.41965,0.23335,0.01365,0.94252,1.19438,0.00121645,0.00121645,0.00121645
44,479.071,1.3877,0.1684,0.04538,1.16135,1.30406,0.84435,0.77756,0.83918,0.49161,0.47144,0.42886,0.46855,0.43739,1.4126,0.26172,0.01521,0.92594,1.19189,0.00119708,0.00119708,0.00119708
45,490.273,1.39475,0.15479,0.03915,1.15673,1.31333,0.84692,0.79,0.83104,0.47187,0.47159,0.45122,0.47378,0.44324,1.46552,0.22337,0.01577,0.97403,1.20719,0.00117746,0.00117746,0.00117746
46,500.938,1.36119,0.16431,0.04076,1.12782,1.29471,0.86209,0.73496,0.84433,0.52267,0.46472,0.44106,0.46822,0.43608,1.29043,0.2592,0.01353,0.88794,1.14392,0.00115761,0.00115761,0.00115761
47,511.632,1.35695,0.15514,0.04193,1.1286,1.29693,0.80901,0.75495,0.83119,0.50864,0.46622,0.44884,0.47561,0.44169,1.32737,0.23607,0.01394,0.9132,1.15708,0.00113755,0.00113755,0.00113755
48,522.247,1.35914,0.16893,0.04143,1.11479,1.29011,0.84702,0.76786,0.84915,0.51142,0.46931,0.43496,0.46857,0.435,1.36067,0.25122,0.01554,0.91208,1.17298,0.00111728,0.00111728,0.00111728
49,532.877,1.36134,0.15688,0.04132,1.12934,1.30067,0.8431,0.77713,0.84659,0.50785,0.4639,0.44401,0.4694,0.44155,1.37068,0.22721,0.01508,0.93907,1.17549,0.00109683,0.00109683,0.00109683
50,544.273,1.36457,0.15399,0.04256,1.12126,1.30124,0.84413,0.78572,0.84281,0.51383,0.4644,0.43699,0.46888,0.44102,1.34412,0.241,0.01457,0.89485,1.17522,0.00107619,0.00107619,0.00107619
51,555.026,1.32644,0.14933,0.04188,1.0868,1.27905,0.83833,0.78474,0.85536,0.53062,0.45967,0.44309,0.46873,0.44367,1.3048,0.22912,0.01377,0.88248,1.15,0.0010554,0.0010554,0.0010554
52,565.531,1.33592,0.1596,0.04439,1.07854,1.28194,0.84408,0.76722,0.84478,0.53851,0.47039,0.45211,0.4794,0.44955,1.25919,0.2187,0.01424,0.87065,1.13438,0.00103447,0.00103447,0.00103447
53,576.107,1.32349,0.15018,0.04157,1.09454,1.27505,0.85443,0.77561,0.84029,0.52773,0.48143,0.43902,0.47326,0.44618,1.29756,0.23471,0.01732,0.88068,1.145,0.0010134,0.0010134,0.0010134
54,586.718,1.31231,0.1631,0.04062,1.05904,1.25861,0.82892,0.78594,0.8514,0.53606,0.49312,0.44512,0.47888,0.44856,1.26113,0.22217,0.01419,0.86033,1.12174,0.000992209,0.000992209,0.000992209
55,597.345,1.32136,0.14631,0.03858,1.06664,1.27717,0.80724,0.77429,0.83193,0.53204,0.49003,0.44106,0.4784,0.44973,1.24816,0.21131,0.01411,0.89189,1.13782,0.000970919,0.000970919,0.000970919
56,607.995,1.32165,0.13348,0.03591,1.06253,1.26779,0.86664,0.7922,0.85733,0.53494,0.47732,0.45732,0.48098,0.45097,1.29027,0.21996,0.01338,0.85743,1.14304,0.000949541,0.000949541,0.000949541
57,618.57,1.32242,0.14099,0.03571,1.06986,1.2787,0.86705,0.76844,0.85571,0.55374,0.48393,0.42851,0.47063,0.4451,1.23261,0.22041,0.01226,0.84425,1.11564,0.000928088,0.000928088,0.000928088
58,629.109,1.31196,0.14731,0.03572,1.04236,1.25579,0.85851,0.79434,0.85758,0.54527,0.47153,0.43767,0.47542,0.44387,1.2907,0.23202,0.01432,0.83701,1.15227,0.000906577,0.000906577,0.000906577
59,639.624,1.28956,0.15019,0.03791,1.06729,1.25158,0.84144,0.81403,0.86118,0.5485,0.48937,0.43496,0.47356,0.44577,1.2722,0.21172,0.01399,0.81898,1.11607,0.000885021,0.000885021,0.000885021
60,650.89,1.28148,0.13318,0.03622,1.03455,1.25132,0.89331,0.78081,0.87366,0.56444,0.4563,0.44566,0.47933,0.44863,1.22486,0.19352,0.01249,0.80242,1.11225,0.000863435,0.000863435,0.000863435
61,661.426,1.3126,0.14925,0.03371,1.05737,1.27863,0.87091,0.80491,0.86197,0.55003,0.48039,0.45122,0.47725,0.44873,1.28439,0.21027,0.01383,0.80978,1.12247,0.000841835,0.000841835,0.000841835
62,672.136,1.29705,0.1458,0.03682,1.02103,1.25502,0.86059,0.81764,0.86666,0.57045,0.47208,0.44668,0.47607,0.45042,1.20923,0.2041,0.01144,0.80525,1.10516,0.000820235,0.000820235,0.000820235
63,682.708,1.25592,0.13201,0.03026,1.02958,1.243,0.85459,0.81211,0.86419,0.54591,0.48113,0.44309,0.47677,0.44715,1.29098,0.20849,0.01109,0.80594,1.1299,0.000798649,0.000798649,0.000798649
64,693.389,1.28456,0.13183,0.0308,1.01066,1.24912,0.86755,0.80313,0.87007,0.54274,0.46517,0.45122,0.47441,0.45,1.26887,0.21681,0.01059,0.81554,1.13556,0.000777093,0.000777093,0.000777093
65,704.122,1.27657,0.12885,0.03168,0.99707,1.24687,0.85403,0.82311,0.88189,0.56977,0.47604,0.44419,0.47545,0.45548,1.24593,0.19635,0.0102,0.78544,1.12471,0.000755582,0.000755582,0.000755582
66,714.636,1.27148,0.13019,0.03272,0.9909,1.23614,0.85364,0.81903,0.87283,0.55963,0.46874,0.44919,0.47299,0.4525,1.24007,0.20905,0.01126,0.77799,1.11059,0.000734129,0.000734129,0.000734129
67,725.201,1.24689,0.12828,0.03196,0.96781,1.233,0.87956,0.79663,0.88299,0.56295,0.45951,0.43828,0.47554,0.45334,1.22867,0.19552,0.01214,0.7809,1.11564,0.000712751,0.000712751,0.000712751
68,735.714,1.25324,0.12037,0.0312,0.97991,1.2366,0.83858,0.82738,0.88238,0.56786,0.47028,0.44715,0.4779,0.45013,1.23037,0.20293,0.01235,0.78617,1.11317,0.000691461,0.000691461,0.000691461
69,746.164,1.25461,0.12808,0.03083,0.98898,1.23818,0.88039,0.8191,0.88395,0.56892,0.47392,0.44321,0.47688,0.45272,1.22034,0.20244,0.01161,0.77383,1.12186,0.000670274,0.000670274,0.000670274
70,756.691,1.26061,0.12558,0.03111,1.02541,1.25139,0.86912,0.82679,0.87448,0.56815,0.49095,0.44096,0.4783,0.45221,1.2143,0.20124,0.01047,0.7676,1.11288,0.000649204,0.000649204,0.000649204
71,767.156,1.26309,0.13168,0.02997,0.97409,1.23178,0.85746,0.80939,0.87,0.57,0.472,0.44547,0.4799,0.45338,1.19133,0.19492,0.01065,0.77089,1.10581,0.000628267,0.000628267,0.000628267
72,777.645,1.22675,0.13671,0.03103,0.96325,1.22003,0.8557,0.84397,0.88545,0.57561,0.48232,0.44361,0.4774,0.45354,1.19955,0.19849,0.0102,0.75899,1.1063,0.000607475,0.000607475,0.000607475
73,788.089,1.23145,0.11545,0.03382,0.98003,1.22938,0.86705,0.81879,0.87932,0.5707,0.46847,0.44919,0.47668,0.45163,1.19281,0.19028,0.01041,0.75127,1.08917,0.000586845,0.000586845,0.000586845
74,798.479,1.21479,0.12707,0.02971,0.94272,1.21375,0.88818,0.79758,0.88172,0.5836,0.48013,0.42886,0.47882,0.45654,1.17117,0.18896,0.01054,0.75097,1.09049,0.000566389,0.000566389,0.000566389
75,808.827,1.2227,0.1295,0.03084,0.9495,1.21909,0.87737,0.803,0.8751,0.57803,0.48052,0.45119,0.48014,0.45624,1.17404,0.20235,0.01109,0.75804,1.08952,0.000546122,0.000546122,0.000546122
76,819.182,1.21658,0.12051,0.02744,0.91692,1.20932,0.88321,0.83085,0.89248,0.58849,0.46787,0.44391,0.47944,0.45798,1.19926,0.1918,0.0099,0.74213,1.09708,0.000526058,0.000526058,0.000526058
