epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.6551,1.32938,0.12905,0.29229,1.17387,1.24921,0.91831,0.89597,0.9508,0.73917,0.00493,0.00742,0.0003,0.00025,0.86618,0.01989,0.06131,0.60413,0.92887,0.0033284,0.0033284,0.0033284
2,127.872,1.06536,0.0727,0.09271,0.72602,1.05591,0.93227,0.87784,0.94742,0.73975,0.00397,0.00763,0.00017,0.00015,0.81801,0.0199,0.03047,0.65311,0.9219,0.00666101,0.00666101,0.00666101
3,185.286,1.06979,0.05313,0.06573,0.72653,1.06784,0.94267,0.864,0.93109,0.60555,0.00472,0.00742,0.00016,0.00014,1.25779,0.01929,0.01515,0.85509,1.04898,0.00999072,0.00999072,0.00999072
4,243.28,1.03847,0.05148,0.05874,0.70912,1.06855,0.86672,0.70818,0.83224,0.64344,0.00273,0.00381,0.00032,0.00026,0.95569,0.01819,0.02997,0.96569,1.01758,0.00999023,0.00999023,0.00999023
5,300.573,0.96198,0.04014,0.05135,0.65453,1.0452,0.95431,0.87754,0.94831,0.75475,0.00208,0.00339,0.00025,0.00015,0.83704,0.03259,0.03898,0.58743,0.94766,0.00998264,0.00998264,0.00998264
6,358.891,0.91572,0.03557,0.04739,0.62946,1.03125,0.94482,0.89237,0.95988,0.75568,0.00244,0.0036,0.00035,0.00031,0.85341,0.01693,0.01983,0.55024,0.95035,0.00997288,0.00997288,0.00997288
7,415.035,0.86936,0.02924,0.04055,0.59495,1.01295,0.94317,0.89669,0.95949,0.77302,0.00484,0.00699,0.00021,0.00018,0.77032,0.0162,0.0198,0.53774,0.92195,0.00996097,0.00996097,0.00996097
8,471.793,0.83546,0.02688,0.03692,0.56717,1.00144,0.93277,0.91547,0.96846,0.81171,0.00475,0.00742,0.00039,0.00034,0.66148,0.01887,0.02762,0.5017,0.88962,0.0099469,0.0099469,0.0099469
9,528.907,0.81549,0.02558,0.03617,0.55832,0.99729,0.94529,0.90042,0.96668,0.79695,0.00522,0.00699,0.0005,0.00046,0.71458,0.01163,0.01182,0.49611,0.89796,0.00993068,0.00993068,0.00993068
10,585.297,0.79756,0.02486,0.03496,0.54334,0.99276,0.94435,0.89167,0.96384,0.82663,0.00504,0.00678,0.00037,0.00034,0.62492,0.0163,0.02608,0.48374,0.89065,0.00991232,0.00991232,0.00991232
11,642.249,0.78523,0.02327,0.03325,0.53552,0.98611,0.95014,0.90614,0.96678,0.81118,0.00442,0.00636,0.00048,0.00038,0.66768,0.02412,0.03356,0.46718,0.89673,0.00989183,0.00989183,0.00989183
12,699.206,0.77458,0.02052,0.0313,0.52498,0.98403,0.95243,0.90106,0.96489,0.83308,0.00364,0.00572,0.00045,0.00033,0.60631,0.02731,0.03382,0.46628,0.88601,0.00986922,0.00986922,0.00986922
13,755.178,0.75314,0.02121,0.0306,0.50741,0.97383,0.94886,0.9161,0.97068,0.83897,0.00466,0.00657,0.00057,0.00051,0.59049,0.01774,0.02681,0.4349,0.8765,0.00984449,0.00984449,0.00984449
14,811.529,0.74701,0.01905,0.02927,0.50832,0.97417,0.95816,0.90733,0.96638,0.83983,0.00385,0.00551,0.00042,0.00029,0.59149,0.02968,0.05416,0.44777,0.87925,0.00981765,0.00981765,0.00981765
15,868.004,0.73417,0.01765,0.028,0.49719,0.9689,0.93232,0.93242,0.97252,0.85,0.00433,0.00614,0.00068,0.00055,0.58529,0.02015,0.03905,0.42294,0.8753,0.00978873,0.00978873,0.00978873
16,924.687,0.72491,0.01746,0.02748,0.4907,0.96673,0.94678,0.91973,0.97196,0.82427,0.00424,0.00636,0.00065,0.0005,0.65567,0.02687,0.04465,0.44249,0.89226,0.00975773,0.00975773,0.00975773
17,980.547,0.71953,0.01669,0.02568,0.48752,0.96436,0.95622,0.91123,0.9722,0.84528,0.00541,0.00699,0.00071,0.00053,0.59373,0.02314,0.03227,0.42713,0.87737,0.00972466,0.00972466,0.00972466
