epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
21,1331.79,0.56792,0.00714,0.00469,0.35436,0.88471,0.97394,0.96085,0.9909,0.87726,0.02826,0.02776,0.00071,0.0007,0.48719,0.00521,0.00069,0.28737,0.81057,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205,0.0287162,0.00957205
22,1395.94,0.56901,0.00689,0.00456,0.3558,0.88578,0.97177,0.96765,0.99098,0.88527,0.02828,0.02776,0.00071,0.00071,0.46765,0.00495,0.00133,0.2783,0.80953,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
23,1458.52,0.56297,0.00665,0.00465,0.35113,0.88278,0.97172,0.96585,0.99132,0.88773,0.02768,0.02759,0.0007,0.0007,0.45864,0.00468,0.00095,0.28023,0.8075,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377,0.0284513,0.00948377
24,1521.43,0.55656,0.00625,0.00446,0.34816,0.88168,0.97185,0.96641,0.99104,0.88662,0.02796,0.02742,0.00071,0.0007,0.45455,0.00546,0.00151,0.27679,0.80616,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671
25,1584.27,0.55222,0.00663,0.00495,0.34536,0.87964,0.97312,0.96538,0.99112,0.88753,0.02824,0.02776,0.00071,0.0007,0.4587,0.00571,0.00172,0.27575,0.80877,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
26,1646.35,0.55639,0.00623,0.00478,0.34639,0.88126,0.97249,0.96315,0.99115,0.89688,0.02839,0.02776,0.00071,0.00071,0.43445,0.00473,0.00063,0.27569,0.80491,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683
27,1708.75,0.54825,0.00572,0.00406,0.34219,0.87865,0.97021,0.96778,0.99164,0.88589,0.02783,0.02776,0.0007,0.0007,0.45899,0.00437,0.00086,0.2676,0.8058,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405
28,1770.97,0.54453,0.00623,0.0041,0.33979,0.87842,0.97016,0.96396,0.99135,0.89371,0.02806,0.02776,0.00071,0.0007,0.44548,0.00475,0.00155,0.26869,0.80402,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
29,1833.46,0.54011,0.00594,0.00438,0.33548,0.87732,0.96736,0.97022,0.99171,0.8993,0.02793,0.02776,0.00071,0.0007,0.42874,0.0047,0.00071,0.26256,0.80281,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296
30,1892.65,0.54383,0.00628,0.00452,0.33621,0.87682,0.97134,0.97016,0.99151,0.90039,0.02761,0.02776,0.0007,0.0007,0.42832,0.00411,0.00052,0.26461,0.80233,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469
31,1951.64,0.53539,0.00533,0.00455,0.33246,0.8757,0.97371,0.96493,0.99175,0.89874,0.02866,0.02776,0.00073,0.00072,0.42789,0.00458,0.00085,0.25932,0.80175,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
32,2010.59,0.5347,0.00509,0.00387,0.33051,0.87616,0.96895,0.96788,0.99149,0.90214,0.02843,0.02776,0.00072,0.00072,0.42423,0.00455,0.00116,0.2593,0.80042,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282
33,2069.2,0.52949,0.00562,0.00365,0.33017,0.87403,0.96897,0.96898,0.99161,0.89642,0.02816,0.02776,0.00071,0.00071,0.43323,0.00393,0.0008,0.26096,0.80113,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928
34,2132.26,0.5282,0.00562,0.00404,0.32952,0.87495,0.97574,0.96332,0.99178,0.90012,0.02861,0.02776,0.00072,0.00072,0.42093,0.00357,0.00055,0.25215,0.79909,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
35,2194.75,0.52939,0.00543,0.00403,0.32826,0.87363,0.97587,0.9647,0.99162,0.90013,0.02869,0.02776,0.00072,0.00072,0.42848,0.00345,0.00044,0.25605,0.79971,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713
36,2253.31,0.52372,0.00522,0.00347,0.32572,0.87128,0.97696,0.96264,0.99164,0.90456,0.02828,0.02776,0.00071,0.00071,0.40768,0.00356,0.00065,0.25307,0.79617,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
37,2312.58,0.51679,0.00546,0.00387,0.32243,0.8697,0.97462,0.96521,0.99202,0.90229,0.02807,0.02776,0.00071,0.00071,0.42349,0.00338,0.00075,0.25346,0.79994,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
38,2368.04,0.52098,0.00559,0.00352,0.32507,0.87228,0.9726,0.96898,0.99187,0.90189,0.02804,0.02776,0.00071,0.0007,0.41698,0.00404,0.00051,0.25254,0.79958,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664
39,2423.51,0.51799,0.00502,0.00355,0.32188,0.86945,0.97116,0.97087,0.99208,0.90677,0.02841,0.02776,0.00072,0.00072,0.41294,0.00347,0.0006,0.24595,0.79683,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333
40,2478.68,0.51111,0.00555,0.00346,0.31677,0.86879,0.97618,0.96487,0.99186,0.90684,0.02841,0.02776,0.00071,0.00071,0.40963,0.00314,0.00046,0.24716,0.79723,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
41,2533.52,0.50972,0.00431,0.00326,0.31688,0.8676,0.97277,0.96724,0.992,0.90989,0.02835,0.02776,0.00071,0.00071,0.40352,0.00329,0.00042,0.24392,0.79605,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
42,2593.19,0.51316,0.00469,0.00314,0.31769,0.871,0.97777,0.965,0.99191,0.90844,0.02832,0.02776,0.00072,0.00072,0.40546,0.00306,0.00036,0.24412,0.7976,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443
43,2648.82,0.50762,0.00562,0.00378,0.31557,0.86744,0.97614,0.96624,0.99197,0.91098,0.02845,0.02776,0.00072,0.00072,0.39664,0.00302,0.00039,0.24238,0.79548,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
44,2705.21,0.5056,0.00522,0.00366,0.31252,0.86856,0.97659,0.96533,0.99186,0.91024,0.02806,0.02776,0.00071,0.00071,0.40037,0.00305,0.00054,0.23974,0.79511,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468
45,2761.1,0.5031,0.0047,0.00343,0.31147,0.86511,0.97092,0.97001,0.99211,0.91468,0.02857,0.02776,0.00072,0.00072,0.39088,0.00292,0.00045,0.23719,0.79352,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277
