epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
24,1334.25,0.53352,0,1e-05,0.33672,0.87564,0.96093,0.96725,0.99074,0.89905,0,0,0,0,0.409,0,1e-05,0.26227,0.79536,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671,0.0283101,0.00943671
25,1388.31,0.5309,0,2e-05,0.33506,0.87528,0.96283,0.96685,0.99032,0.89969,0,0,0,0,0.40764,0,2e-05,0.26045,0.79507,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
26,1449.49,0.53144,0,0,0.33263,0.87487,0.96306,0.9702,0.99132,0.8964,0,0,0,0,0.42461,0,0.00024,0.25978,0.79546,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683,0.0280105,0.00933683
27,1500.21,0.52426,0,0,0.33163,0.87342,0.97177,0.96209,0.99114,0.88834,0,0,0,0,0.43413,0,0.00021,0.2607,0.79635,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405,0.0278522,0.00928405
28,1553.54,0.51978,0,0,0.32672,0.87244,0.96881,0.96407,0.99169,0.89608,0,0,0,0,0.42345,0,2e-05,0.25836,0.7952,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
29,1606.38,0.51805,0,0,0.32664,0.87206,0.9744,0.95977,0.99147,0.8991,0,0,0,0,0.41542,0,0.00014,0.25281,0.79315,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296,0.0275189,0.00917296
30,1674.66,0.51597,0,1e-05,0.32491,0.86844,0.96997,0.96244,0.99119,0.89754,0,0,0,0,0.4195,0,0.00016,0.25116,0.79433,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469,0.0273441,0.00911469
31,1913.25,0.51218,0,0,0.32213,0.87109,0.96818,0.96585,0.99129,0.9065,0,0,0,0,0.38238,0,0,0.2441,0.79146,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
32,2082.18,0.51304,0,0,0.32149,0.87028,0.9692,0.96534,0.99164,0.90737,0,0,0,0,0.38424,0,1e-05,0.24126,0.79216,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282,0.0269785,0.00899282
33,2301.95,0.50668,0,1e-05,0.31852,0.86901,0.96523,0.9702,0.99182,0.90549,0,0,0,0,0.39509,0,3e-05,0.24196,0.79241,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928,0.0267878,0.00892928
34,2521.68,0.50269,0,0,0.31671,0.86795,0.96839,0.96808,0.99154,0.90282,0,0,0,0,0.40048,0,0.0001,0.24326,0.79253,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
35,2746.98,0.50325,0,5e-05,0.31687,0.86698,0.97103,0.96344,0.99131,0.9052,0,0,0,0,0.39405,0,5e-05,0.2388,0.79118,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713,0.0263914,0.00879713
36,3000.99,0.50009,0,0,0.3137,0.8686,0.96673,0.96854,0.99148,0.90666,0,0,0,0,0.3871,0,0,0.23654,0.79199,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
37,3083.24,0.50063,0,2e-05,0.31588,0.8668,0.97058,0.96552,0.99161,0.90877,0,0,0,0,0.38922,0,0,0.2351,0.79178,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
38,3140.01,0.49702,0,0,0.31091,0.86497,0.97263,0.96526,0.99174,0.9046,0,0,0,0,0.40303,0,2e-05,0.2358,0.79161,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664,0.0257599,0.00858664
39,3195.74,0.49466,0,1e-05,0.30833,0.86555,0.97139,0.96384,0.9916,0.91126,0,0,0,0,0.37871,0,0,0.23374,0.78972,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333,0.02554,0.00851333
40,3253.04,0.49278,0,0,0.31001,0.86539,0.96842,0.96879,0.99127,0.9056,0,0,0,0,0.39872,0,0,0.23488,0.78952,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
41,3307.7,0.48934,0,0,0.30673,0.86573,0.96735,0.96738,0.99142,0.90909,0,0,0,0,0.38465,0,5e-05,0.23601,0.78894,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
42,3362.87,0.48787,0,1e-05,0.30652,0.86452,0.97551,0.96217,0.99198,0.91486,0,0,0,0,0.36898,0,0,0.22897,0.78759,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443,0.0248533,0.00828443
43,3416.03,0.48872,0,0,0.30582,0.86463,0.97189,0.96314,0.99176,0.91537,0,0,0,0,0.36798,0,0,0.23007,0.78769,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
44,3471.34,0.48482,0,0,0.30328,0.86049,0.97178,0.96438,0.99142,0.91375,0,0,0,0,0.36901,0,0,0.22635,0.7877,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468,0.024374,0.00812468
45,3523.72,0.4822,0,2e-05,0.30077,0.86101,0.97417,0.96422,0.99158,0.91131,0,0,0,0,0.38077,0,1e-05,0.22744,0.78879,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277,0.0241283,0.00804277
46,3575.68,0.48303,0,0,0.30227,0.86178,0.97106,0.96685,0.99163,0.91577,0,0,0,0,0.36881,0,0,0.22445,0.78822,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
47,3627.93,0.47907,0,0,0.29897,0.86189,0.96984,0.96773,0.99175,0.9151,0,0,0,0,0.36497,0,0.00026,0.22408,0.78642,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503,0.0236251,0.00787503
48,3680.12,0.47536,0,2e-05,0.2963,0.85856,0.97912,0.95904,0.99194,0.91752,0,0,0,0,0.36551,0,0.00076,0.22087,0.78524,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929,0.0233679,0.00778929
49,3732.89,0.47256,0,0,0.29381,0.85878,0.96783,0.97089,0.99208,0.91678,0,0,0,0,0.36387,0,0.00064,0.22441,0.78648,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
