epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.0421,1.39336,1.25195,0.60898,1.28182,1.30388,0.94179,0.85381,0.93858,0.67809,0.00302,0.00551,0.00027,0.00022,1.02254,0.07949,0.01633,0.66927,0.97066,0.0033284,0.0033284,0.0033284
2,120.769,1.12657,0.72562,0.50741,0.8054,1.09608,0.81925,0.64492,0.76755,0.55848,0.00101,0.00169,0.0001,8e-05,1.0669,0.10219,0.01414,1.13237,1.07463,0.00666101,0.00666101,0.00666101
3,173.067,1.18605,0.76478,0.46967,0.86668,1.12589,0.92442,0.83305,0.90923,0.64047,0.00227,0.00487,0.00011,8e-05,1.13857,0.09958,0.01493,0.84251,1.05298,0.00999072,0.00999072,0.00999072
4,223.91,1.1904,0.76353,0.45434,0.87194,1.14269,0.94116,0.83919,0.91618,0.6003,0.00264,0.00551,0.00013,0.00011,1.29555,0.08239,0.01167,0.82846,1.12117,0.00999023,0.00999023,0.00999023
5,267.91,1.12922,0.60978,0.40971,0.82537,1.12396,0.93728,0.85869,0.92858,0.68417,0.00535,0.0072,0.00014,0.00013,1.03743,0.05305,0.0038,0.74411,1.01981,0.00998264,0.00998264,0.00998264
6,311.803,1.07243,0.52503,0.37797,0.77981,1.1042,0.9261,0.8678,0.93774,0.74499,0.00503,0.00678,0.00027,0.00025,0.85307,0.05717,0.01709,0.63611,0.98092,0.00997288,0.00997288,0.00997288
7,355.69,1.02119,0.43266,0.32409,0.72633,1.0832,0.94201,0.87182,0.94561,0.72296,0.00643,0.00742,0.00025,0.00023,0.91474,0.07498,0.01744,0.62181,0.97908,0.00996097,0.00996097,0.00996097
8,399.748,0.98838,0.39282,0.29269,0.69451,1.06651,0.94427,0.87564,0.94967,0.7652,0.00235,0.0036,0.00038,0.00034,0.80037,0.08257,0.0135,0.57755,0.95314,0.0099469,0.0099469,0.0099469
9,443.608,0.97115,0.41244,0.29528,0.68271,1.06122,0.9532,0.8589,0.94032,0.76312,0.00412,0.00572,0.00038,0.00035,0.81123,0.04251,0.0116,0.59809,0.96767,0.00993068,0.00993068,0.00993068
10,488.854,0.95097,0.35482,0.26771,0.66915,1.05511,0.95595,0.87076,0.95068,0.76335,0.0052,0.00657,0.00025,0.00023,0.7963,0.10235,0.01595,0.58442,0.95148,0.00991232,0.00991232,0.00991232
11,532.962,0.93239,0.33364,0.24847,0.65512,1.04412,0.9342,0.88429,0.94992,0.75989,0.004,0.00614,0.0003,0.00028,0.81051,0.03432,0.00598,0.58617,0.95465,0.00989183,0.00989183,0.00989183
12,577.085,0.92656,0.32344,0.23987,0.64836,1.04396,0.95404,0.88008,0.95648,0.77441,0.00427,0.00572,0.00038,0.00036,0.78635,0.05925,0.0119,0.55574,0.94028,0.00986922,0.00986922,0.00986922
13,621.162,0.89808,0.32048,0.22337,0.6231,1.0301,0.95121,0.88803,0.95526,0.77586,0.00489,0.00699,0.00029,0.00026,0.7655,0.06583,0.01059,0.5468,0.93994,0.00984449,0.00984449,0.00984449
14,665.062,0.89281,0.26943,0.20516,0.62542,1.03054,0.95775,0.88072,0.95693,0.7847,0.00522,0.00657,0.00026,0.00025,0.71906,0.04284,0.00419,0.54871,0.92296,0.00981765,0.00981765,0.00981765
